Entity,Code,Year,Total number of emigrants
Afghanistan,AFG,1990,7477104
Afghanistan,AFG,1995,4107724
Afghanistan,AFG,2000,4544516
Afghanistan,AFG,2005,3902699
Afghanistan,AFG,2010,5074825
Afghanistan,AFG,2015,5181002
Afghanistan,AFG,2020,5729887
Afghanistan,AFG,2024,7528994
Africa,,1990,19677870
Africa,,1995,21240099
Africa,,2000,21162547
Africa,,2005,24080357
Africa,,2010,27829220
Africa,,2015,34659532
Africa,,2020,40006733
Africa,,2024,45750673
Albania,ALB,1990,178747
Albania,ALB,1995,394084
Albania,ALB,2000,629192
Albania,ALB,2005,784369
Albania,ALB,2010,962514
Albania,ALB,2015,985561
Albania,ALB,2020,1103849
Albania,ALB,2024,1216628
Algeria,DZA,1990,1458505
Algeria,DZA,1995,1424971
Algeria,DZA,2000,1427791
Algeria,DZA,2005,1554741
Algeria,DZA,2010,1604582
Algeria,DZA,2015,1662433
Algeria,DZA,2020,1732822
Algeria,DZA,2024,1780399
American Samoa,ASM,1990,1085
American Samoa,ASM,1995,1625
American Samoa,ASM,2000,2183
American Samoa,ASM,2005,2148
American Samoa,ASM,2010,2341
American Samoa,ASM,2015,2452
American Samoa,ASM,2020,2952
American Samoa,ASM,2024,3362
Andorra,AND,1990,143
Andorra,AND,1995,283
Andorra,AND,2000,436
Andorra,AND,2005,448
Andorra,AND,2010,1213
Andorra,AND,2015,1467
Andorra,AND,2020,1751
Andorra,AND,2024,1982
Angola,AGO,1990,799084
Angola,AGO,1995,656106
Angola,AGO,2000,873474
Angola,AGO,2005,663380
Angola,AGO,2010,579968
Angola,AGO,2015,518695
Angola,AGO,2020,549257
Angola,AGO,2024,616967
Anguilla,AIA,1990,2262
Anguilla,AIA,1995,2205
Anguilla,AIA,2000,2158
Anguilla,AIA,2005,1776
Anguilla,AIA,2010,1719
Anguilla,AIA,2015,1572
Anguilla,AIA,2020,1561
Anguilla,AIA,2024,1614
Antigua and Barbuda,ATG,1990,7368
Antigua and Barbuda,ATG,1995,7792
Antigua and Barbuda,ATG,2000,8297
Antigua and Barbuda,ATG,2005,7978
Antigua and Barbuda,ATG,2010,8143
Antigua and Barbuda,ATG,2015,12860
Antigua and Barbuda,ATG,2020,12999
Antigua and Barbuda,ATG,2024,13111
Argentina,ARG,1990,406466
Argentina,ARG,1995,445110
Argentina,ARG,2000,571985
Argentina,ARG,2005,824076
Argentina,ARG,2010,877341
Argentina,ARG,2015,895980
Argentina,ARG,2020,1014400
Argentina,ARG,2024,1183381
Armenia,ARM,1990,813557
Armenia,ARM,1995,990938
Armenia,ARM,2000,950779
Armenia,ARM,2005,787489
Armenia,ARM,2010,799328
Armenia,ARM,2015,741708
Armenia,ARM,2020,685545
Armenia,ARM,2024,637604
Aruba,ABW,1990,4564
Aruba,ABW,1995,4844
Aruba,ABW,2000,5433
Aruba,ABW,2005,5447
Aruba,ABW,2010,7117
Aruba,ABW,2015,9011
Aruba,ABW,2020,16628
Aruba,ABW,2024,29305
Asia,,1990,54154302
Asia,,1995,56278875
Asia,,2000,62918051
Asia,,2005,69817605
Asia,,2010,85229256
Asia,,2015,101116455
Asia,,2020,111067828
Asia,,2024,120717155
Australia,AUS,1990,250909
Australia,AUS,1995,280785
Australia,AUS,2000,311529
Australia,AUS,2005,337326
Australia,AUS,2010,362178
Australia,AUS,2015,403333
Australia,AUS,2020,420672
Australia,AUS,2024,430718
Austria,AUT,1990,433951
Austria,AUT,1995,418616
Austria,AUT,2000,414141
Austria,AUT,2005,408939
Austria,AUT,2010,409023
Austria,AUT,2015,411144
Austria,AUT,2020,424072
Austria,AUT,2024,430560
Azerbaijan,AZE,1990,1334492
Azerbaijan,AZE,1995,1517896
Azerbaijan,AZE,2000,1466589
Azerbaijan,AZE,2005,1350981
Azerbaijan,AZE,2010,1050055
Azerbaijan,AZE,2015,860748
Azerbaijan,AZE,2020,790122
Azerbaijan,AZE,2024,810116
Bahamas,BHS,1990,2074
Bahamas,BHS,1995,2064
Bahamas,BHS,2000,2139
Bahamas,BHS,2005,1985
Bahamas,BHS,2010,1867
Bahamas,BHS,2015,1955
Bahamas,BHS,2020,2042
Bahamas,BHS,2024,2174
Bahrain,BHR,1990,11251
Bahrain,BHR,1995,21614
Bahrain,BHR,2000,32137
Bahrain,BHR,2005,36803
Bahrain,BHR,2010,42283
Bahrain,BHR,2015,45263
Bahrain,BHR,2020,45356
Bahrain,BHR,2024,57160
Bangladesh,BGD,1990,5076540
Bangladesh,BGD,1995,5266258
Bangladesh,BGD,2000,5287858
Bangladesh,BGD,2005,5198991
Bangladesh,BGD,2010,6221642
Bangladesh,BGD,2015,7883873
Bangladesh,BGD,2020,8085347
Bangladesh,BGD,2024,8706947
Barbados,BRB,1990,20659
Barbados,BRB,1995,20592
Barbados,BRB,2000,20249
Barbados,BRB,2005,20961
Barbados,BRB,2010,20844
Barbados,BRB,2015,20504
Barbados,BRB,2020,19564
Barbados,BRB,2024,19558
Belarus,BLR,1990,1768067
Belarus,BLR,1995,1680350
Belarus,BLR,2000,1599048
Belarus,BLR,2005,1462091
Belarus,BLR,2010,1310899
Belarus,BLR,2015,1079713
Belarus,BLR,2020,919469
Belarus,BLR,2024,790232
Belgium,BEL,1990,312709
Belgium,BEL,1995,305533
Belgium,BEL,2000,313188
Belgium,BEL,2005,374297
Belgium,BEL,2010,405732
Belgium,BEL,2015,438560
Belgium,BEL,2020,482561
Belgium,BEL,2024,521884
Belize,BLZ,1990,3528
Belize,BLZ,1995,3627
Belize,BLZ,2000,3849
Belize,BLZ,2005,4380
Belize,BLZ,2010,5247
Belize,BLZ,2015,5970
Belize,BLZ,2020,6694
Belize,BLZ,2024,7383
Benin,BEN,1990,226170
Benin,BEN,1995,265968
Benin,BEN,2000,321244
Benin,BEN,2005,496572
Benin,BEN,2010,533981
Benin,BEN,2015,628871
Benin,BEN,2020,678375
Benin,BEN,2024,726530
Bermuda,BMU,1990,433
Bermuda,BMU,1995,473
Bermuda,BMU,2000,537
Bermuda,BMU,2005,638
Bermuda,BMU,2010,748
Bermuda,BMU,2015,871
Bermuda,BMU,2020,1051
Bermuda,BMU,2024,1100
Bhutan,BTN,1990,27169
Bhutan,BTN,1995,117210
Bhutan,BTN,2000,119788
Bhutan,BTN,2005,117140
Bhutan,BTN,2010,88335
Bhutan,BTN,2015,47807
Bhutan,BTN,2020,52339
Bhutan,BTN,2024,66145
Bolivia,BOL,1990,199843
Bolivia,BOL,1995,236253
Bolivia,BOL,2000,281557
Bolivia,BOL,2005,456266
Bolivia,BOL,2010,648912
Bolivia,BOL,2015,646591
Bolivia,BOL,2020,744014
Bolivia,BOL,2024,783473
Bonaire Sint Eustatius and Saba,BES,1990,2852
Bonaire Sint Eustatius and Saba,BES,1995,2947
Bonaire Sint Eustatius and Saba,BES,2000,3052
Bonaire Sint Eustatius and Saba,BES,2005,3016
Bonaire Sint Eustatius and Saba,BES,2010,2883
Bonaire Sint Eustatius and Saba,BES,2015,3100
Bonaire Sint Eustatius and Saba,BES,2020,3524
Bonaire Sint Eustatius and Saba,BES,2024,4744
Bosnia and Herzegovina,BIH,1990,1108999
Bosnia and Herzegovina,BIH,1995,1705561
Bosnia and Herzegovina,BIH,2000,1624537
Bosnia and Herzegovina,BIH,2005,1494812
Bosnia and Herzegovina,BIH,2010,1481062
Bosnia and Herzegovina,BIH,2015,1477261
Bosnia and Herzegovina,BIH,2020,1542552
Bosnia and Herzegovina,BIH,2024,1608324
Botswana,BWA,1990,23982
Botswana,BWA,1995,17487
Botswana,BWA,2000,22155
Botswana,BWA,2005,22158
Botswana,BWA,2010,19869
Botswana,BWA,2015,18161
Botswana,BWA,2020,17397
Botswana,BWA,2024,16731
Brazil,BRA,1990,446721
Brazil,BRA,1995,626103
Brazil,BRA,2000,902341
Brazil,BRA,2005,1215342
Brazil,BRA,2010,1365997
Brazil,BRA,2015,1402267
Brazil,BRA,2020,1854912
Brazil,BRA,2024,2194325
British Virgin Islands,VGB,1990,3832
British Virgin Islands,VGB,1995,3930
British Virgin Islands,VGB,2000,4053
British Virgin Islands,VGB,2005,3678
British Virgin Islands,VGB,2010,4534
British Virgin Islands,VGB,2015,4874
British Virgin Islands,VGB,2020,5543
British Virgin Islands,VGB,2024,6185
Brunei,BRN,1990,31408
Brunei,BRN,1995,44425
Brunei,BRN,2000,45229
Brunei,BRN,2005,45524
Brunei,BRN,2010,45555
Brunei,BRN,2015,45924
Brunei,BRN,2020,46349
Brunei,BRN,2024,46552
Bulgaria,BGR,1990,597707
Bulgaria,BGR,1995,661065
Bulgaria,BGR,2000,707846
Bulgaria,BGR,2005,808373
Bulgaria,BGR,2010,926056
Bulgaria,BGR,2015,1030383
Bulgaria,BGR,2020,1178732
Bulgaria,BGR,2024,1252234
Burkina Faso,BFA,1990,1015890
Burkina Faso,BFA,1995,1152082
Burkina Faso,BFA,2000,1297567
Burkina Faso,BFA,2005,1443306
Burkina Faso,BFA,2010,1601296
Burkina Faso,BFA,2015,1759971
Burkina Faso,BFA,2020,1919400
Burkina Faso,BFA,2024,2050050
Burundi,BDI,1990,342568
Burundi,BDI,1995,549487
Burundi,BDI,2000,802113
Burundi,BDI,2005,651030
Burundi,BDI,2010,290788
Burundi,BDI,2015,444013
Burundi,BDI,2020,552134
Burundi,BDI,2024,576530
Cambodia,KHM,1990,261096
Cambodia,KHM,1995,282803
Cambodia,KHM,2000,316497
Cambodia,KHM,2005,455076
Cambodia,KHM,2010,613439
Cambodia,KHM,2015,674059
Cambodia,KHM,2020,726096
Cambodia,KHM,2024,778793
Cameroon,CMR,1990,92391
Cameroon,CMR,1995,108473
Cameroon,CMR,2000,131985
Cameroon,CMR,2005,167265
Cameroon,CMR,2010,214405
Cameroon,CMR,2015,275824
Cameroon,CMR,2020,357087
Cameroon,CMR,2024,409677
Canada,CAN,1990,1114493
Canada,CAN,1995,1273577
Canada,CAN,2000,1248046
Canada,CAN,2005,1255998
Canada,CAN,2010,1255259
Canada,CAN,2015,1307957
Canada,CAN,2020,1310121
Canada,CAN,2024,1347381
Cape Verde,CPV,1990,51800
Cape Verde,CPV,1995,63673
Cape Verde,CPV,2000,76121
Cape Verde,CPV,2005,92475
Cape Verde,CPV,2010,99281
Cape Verde,CPV,2015,116450
Cape Verde,CPV,2020,133491
Cape Verde,CPV,2024,146396
Cayman Islands,CYM,1990,125
Cayman Islands,CYM,1995,130
Cayman Islands,CYM,2000,146
Cayman Islands,CYM,2005,179
Cayman Islands,CYM,2010,248
Cayman Islands,CYM,2015,381
Cayman Islands,CYM,2020,549
Cayman Islands,CYM,2024,609
Central African Republic,CAF,1990,37143
Central African Republic,CAF,1995,39510
Central African Republic,CAF,2000,44980
Central African Republic,CAF,2005,115287
Central African Republic,CAF,2010,228473
Central African Republic,CAF,2015,666056
Central African Republic,CAF,2020,794362
Central African Republic,CAF,2024,905808
Central America (UN),,1990,6641926
Central America (UN),,1995,9481989
Central America (UN),,2000,11826660
Central America (UN),,2005,14379127
Central America (UN),,2010,15814764
Central America (UN),,2015,16402048
Central America (UN),,2020,16455194
Central America (UN),,2024,17447447
Central Asia (UN),,1990,6080895
Central Asia (UN),,1995,6395294
Central Asia (UN),,2000,6674793
Central Asia (UN),,2005,7167297
Central Asia (UN),,2010,7438419
Central Asia (UN),,2015,6905656
Central Asia (UN),,2020,6609180
Central Asia (UN),,2024,6331890
Central and Southern Asia (UN),,1990,30342957
Central and Southern Asia (UN),,1995,27930630
Central and Southern Asia (UN),,2000,30008559
Central and Southern Asia (UN),,2005,32445580
Central and Southern Asia (UN),,2010,39400759
Central and Southern Asia (UN),,2015,46011893
Central and Southern Asia (UN),,2020,48594959
Central and Southern Asia (UN),,2024,53948417
Chad,TCD,1990,329970
Chad,TCD,1995,217609
Chad,TCD,2000,202762
Chad,TCD,2005,201982
Chad,TCD,2010,191459
Chad,TCD,2015,179293
Chad,TCD,2020,208110
Chad,TCD,2024,292298
Channel Islands,OWID_CIS,1990,285
Channel Islands,OWID_CIS,1995,279
Channel Islands,OWID_CIS,2000,312
Channel Islands,OWID_CIS,2005,306
Channel Islands,OWID_CIS,2010,381
Channel Islands,OWID_CIS,2015,297
Channel Islands,OWID_CIS,2020,320
Channel Islands,OWID_CIS,2024,351
Chile,CHL,1990,390979
Chile,CHL,1995,391356
Chile,CHL,2000,393879
Chile,CHL,2005,419855
Chile,CHL,2010,435797
Chile,CHL,2015,419035
Chile,CHL,2020,423400
Chile,CHL,2024,444451
China,CHN,1990,3990935
China,CHN,1995,4676354
China,CHN,2000,5668480
China,CHN,2005,6892920
China,CHN,2010,8773150
China,CHN,2015,10357962
China,CHN,2020,11169868
China,CHN,2024,11701619
Colombia,COL,1990,1000769
Colombia,COL,1995,1181011
Colombia,COL,2000,1469973
Colombia,COL,2005,1823207
Colombia,COL,2010,2558298
Colombia,COL,2015,2720321
Colombia,COL,2020,3165293
Colombia,COL,2024,3652238
Comoros,COM,1990,32522
Comoros,COM,1995,48072
Comoros,COM,2000,73404
Comoros,COM,2005,97008
Comoros,COM,2010,111510
Comoros,COM,2015,188715
Comoros,COM,2020,260848
Comoros,COM,2024,367574
Congo,COG,1990,64367
Congo,COG,1995,88142
Congo,COG,2000,118262
Congo,COG,2005,160242
Congo,COG,2010,169150
Congo,COG,2015,201319
Congo,COG,2020,220301
Congo,COG,2024,231080
Cook Islands,COK,1990,17630
Cook Islands,COK,1995,16916
Cook Islands,COK,2000,19708
Cook Islands,COK,2005,20294
Cook Islands,COK,2010,20294
Cook Islands,COK,2015,20558
Cook Islands,COK,2020,20134
Cook Islands,COK,2024,20288
Costa Rica,CRI,1990,22922
Costa Rica,CRI,1995,22763
Costa Rica,CRI,2000,26493
Costa Rica,CRI,2005,30258
Costa Rica,CRI,2010,34241
Costa Rica,CRI,2015,39023
Costa Rica,CRI,2020,43504
Costa Rica,CRI,2024,50982
Cote d'Ivoire,CIV,1990,353717
Cote d'Ivoire,CIV,1995,433736
Cote d'Ivoire,CIV,2000,525165
Cote d'Ivoire,CIV,2005,698103
Cote d'Ivoire,CIV,2010,902169
Cote d'Ivoire,CIV,2015,1025536
Cote d'Ivoire,CIV,2020,1129849
Cote d'Ivoire,CIV,2024,1211422
Croatia,HRV,1990,840829
Croatia,HRV,1995,1056934
Croatia,HRV,2000,1196319
Croatia,HRV,2005,990980
Croatia,HRV,2010,847561
Croatia,HRV,2015,802347
Croatia,HRV,2020,825039
Croatia,HRV,2024,826166
Cuba,CUB,1990,839585
Cuba,CUB,1995,917722
Cuba,CUB,2000,1032762
Cuba,CUB,2005,1093555
Cuba,CUB,2010,1337631
Cuba,CUB,2015,1519397
Cuba,CUB,2020,1721822
Cuba,CUB,2024,1879613
Curacao,CUW,1990,3029
Curacao,CUW,1995,3779
Curacao,CUW,2000,4701
Curacao,CUW,2005,4329
Curacao,CUW,2010,5354
Curacao,CUW,2015,5861
Curacao,CUW,2020,7666
Curacao,CUW,2024,10103
Cyprus,CYP,1990,87065
Cyprus,CYP,1995,74433
Cyprus,CYP,2000,63149
Cyprus,CYP,2005,65886
Cyprus,CYP,2010,68736
Cyprus,CYP,2015,70451
Cyprus,CYP,2020,75728
Cyprus,CYP,2024,80760
Czechia,CZE,1990,532885
Czechia,CZE,1995,585124
Czechia,CZE,2000,615436
Czechia,CZE,2005,650527
Czechia,CZE,2010,660378
Czechia,CZE,2015,624517
Czechia,CZE,2020,584341
Czechia,CZE,2024,583214
Democratic Republic of Congo,COD,1990,393133
Democratic Republic of Congo,COD,1995,505090
Democratic Republic of Congo,COD,2000,794799
Democratic Republic of Congo,COD,2005,1097069
Democratic Republic of Congo,COD,2010,1242847
Democratic Republic of Congo,COD,2015,1512153
Democratic Republic of Congo,COD,2020,1916852
Democratic Republic of Congo,COD,2024,2097387
Denmark,DNK,1990,124563
Denmark,DNK,1995,117007
Denmark,DNK,2000,113952
Denmark,DNK,2005,120534
Denmark,DNK,2010,124567
Denmark,DNK,2015,123297
Denmark,DNK,2020,120852
Denmark,DNK,2024,124665
Djibouti,DJI,1990,1963
Djibouti,DJI,1995,20005
Djibouti,DJI,2000,3751
Djibouti,DJI,2005,2421
Djibouti,DJI,2010,2577
Djibouti,DJI,2015,2537
Djibouti,DJI,2020,2866
Djibouti,DJI,2024,3576
Dominica,DMA,1990,18686
Dominica,DMA,1995,20457
Dominica,DMA,2000,22406
Dominica,DMA,2005,21077
Dominica,DMA,2010,20788
Dominica,DMA,2015,21079
Dominica,DMA,2020,20838
Dominica,DMA,2024,21384
Dominican Republic,DOM,1990,462285
Dominican Republic,DOM,1995,657381
Dominican Republic,DOM,2000,845469
Dominican Republic,DOM,2005,962450
Dominican Republic,DOM,2010,1212240
Dominican Republic,DOM,2015,1454378
Dominican Republic,DOM,2020,1691232
Dominican Republic,DOM,2024,1917153
East Timor,TLS,1990,27505
East Timor,TLS,1995,35137
East Timor,TLS,2000,188495
East Timor,TLS,2005,43229
East Timor,TLS,2010,45740
East Timor,TLS,2015,64935
East Timor,TLS,2020,96759
East Timor,TLS,2024,109613
Eastern Africa (UN),,1990,7092040
Eastern Africa (UN),,1995,7113173
Eastern Africa (UN),,2000,5613465
Eastern Africa (UN),,2005,5591977
Eastern Africa (UN),,2010,6697584
Eastern Africa (UN),,2015,9034394
Eastern Africa (UN),,2020,11321072
Eastern Africa (UN),,2024,13218873
Eastern Asia (UN),,1990,7580664
Eastern Asia (UN),,1995,8705066
Eastern Asia (UN),,2000,10033956
Eastern Asia (UN),,2005,11485152
Eastern Asia (UN),,2010,13738877
Eastern Asia (UN),,2015,15593781
Eastern Asia (UN),,2020,16436131
Eastern Asia (UN),,2024,17184244
Eastern Europe (UN),,1990,25443190
Eastern Europe (UN),,1995,23709242
Eastern Europe (UN),,2000,22290370
Eastern Europe (UN),,2005,23114441
Eastern Europe (UN),,2010,24770817
Eastern Europe (UN),,2015,25213204
Eastern Europe (UN),,2020,26055890
Eastern Europe (UN),,2024,32478382
Eastern and South-Eastern Asia (UN),,1990,14465509
Eastern and South-Eastern Asia (UN),,1995,17262816
Eastern and South-Eastern Asia (UN),,2000,20822011
Eastern and South-Eastern Asia (UN),,2005,24315849
Eastern and South-Eastern Asia (UN),,2010,30053666
Eastern and South-Eastern Asia (UN),,2015,34562856
Eastern and South-Eastern Asia (UN),,2020,38223520
Eastern and South-Eastern Asia (UN),,2024,41409235
Ecuador,ECU,1990,209258
Ecuador,ECU,1995,316260
Ecuador,ECU,2000,510456
Ecuador,ECU,2005,935700
Ecuador,ECU,2010,1122949
Ecuador,ECU,2015,1066457
Ecuador,ECU,2020,1118570
Ecuador,ECU,2024,1243065
Egypt,EGY,1990,1630728
Egypt,EGY,1995,1750423
Egypt,EGY,2000,1921183
Egypt,EGY,2005,2371080
Egypt,EGY,2010,3213308
Egypt,EGY,2015,4193177
Egypt,EGY,2020,4454277
Egypt,EGY,2024,4820002
El Salvador,SLV,1990,955569
El Salvador,SLV,1995,1005420
El Salvador,SLV,2000,906731
El Salvador,SLV,2005,1108043
El Salvador,SLV,2010,1359464
El Salvador,SLV,2015,1541873
El Salvador,SLV,2020,1679667
El Salvador,SLV,2024,1834670
Equatorial Guinea,GNQ,1990,27829
Equatorial Guinea,GNQ,1995,40029
Equatorial Guinea,GNQ,2000,57049
Equatorial Guinea,GNQ,2005,71228
Equatorial Guinea,GNQ,2010,83286
Equatorial Guinea,GNQ,2015,116053
Equatorial Guinea,GNQ,2020,127021
Equatorial Guinea,GNQ,2024,136825
Eritrea,ERI,1990,156294
Eritrea,ERI,1995,370422
Eritrea,ERI,2000,505394
Eritrea,ERI,2005,267114
Eritrea,ERI,2010,283312
Eritrea,ERI,2015,478597
Eritrea,ERI,2020,663275
Eritrea,ERI,2024,912792
Estonia,EST,1990,106726
Estonia,EST,1995,108115
Estonia,EST,2000,111603
Estonia,EST,2005,115845
Estonia,EST,2010,116903
Estonia,EST,2015,128194
Estonia,EST,2020,123628
Estonia,EST,2024,124216
Eswatini,SWZ,1990,31331
Eswatini,SWZ,1995,28204
Eswatini,SWZ,2000,29821
Eswatini,SWZ,2005,33323
Eswatini,SWZ,2010,37292
Eswatini,SWZ,2015,28381
Eswatini,SWZ,2020,19033
Eswatini,SWZ,2024,11561
Ethiopia,ETH,1990,1630810
Ethiopia,ETH,1995,727374
Ethiopia,ETH,2000,418923
Ethiopia,ETH,2005,493987
Ethiopia,ETH,2010,666181
Ethiopia,ETH,2015,896584
Ethiopia,ETH,2020,1075343
Ethiopia,ETH,2024,1240645
Europe,,1990,48903415
Europe,,1995,49085200
Europe,,2000,47099214
Europe,,2005,47925446
Europe,,2010,50550986
Europe,,2015,51828564
Europe,,2020,53566246
Europe,,2024,61061575
Europe and Northern America (UN),,1990,51666993
Europe and Northern America (UN),,1995,52157238
Europe and Northern America (UN),,2000,50315576
Europe and Northern America (UN),,2005,51450712
Europe and Northern America (UN),,2010,54529079
Europe and Northern America (UN),,2015,56052727
Europe and Northern America (UN),,2020,57902217
Europe and Northern America (UN),,2024,65535293
European Union (27),,1990,21994839
European Union (27),,1995,23459785
European Union (27),,2000,22779295
European Union (27),,2005,23593202
European Union (27),,2010,26016924
European Union (27),,2015,27800302
European Union (27),,2020,29247224
European Union (27),,2024,30573537
Falkland Islands,FLK,1990,1082
Falkland Islands,FLK,1995,1839
Falkland Islands,FLK,2000,1525
Falkland Islands,FLK,2005,1100
Falkland Islands,FLK,2010,414
Falkland Islands,FLK,2015,193
Falkland Islands,FLK,2020,106
Falkland Islands,FLK,2024,93
Faroe Islands,FRO,1990,7941
Faroe Islands,FRO,1995,12021
Faroe Islands,FRO,2000,11640
Faroe Islands,FRO,2005,11018
Faroe Islands,FRO,2010,12146
Faroe Islands,FRO,2015,13041
Faroe Islands,FRO,2020,12048
Faroe Islands,FRO,2024,12282
Fiji,FJI,1990,65039
Fiji,FJI,1995,78323
Fiji,FJI,2000,95570
Fiji,FJI,2005,117629
Fiji,FJI,2010,138607
Fiji,FJI,2015,158026
Fiji,FJI,2020,169411
Fiji,FJI,2024,181025
Finland,FIN,1990,266717
Finland,FIN,1995,255507
Finland,FIN,2000,247766
Finland,FIN,2005,236417
Finland,FIN,2010,221943
Finland,FIN,2015,209216
Finland,FIN,2020,195782
Finland,FIN,2024,181834
France,FRA,1990,1413608
France,FRA,1995,1629553
France,FRA,2000,1721390
France,FRA,2005,1855042
France,FRA,2010,2042164
France,FRA,2015,2249670
France,FRA,2020,2400208
France,FRA,2024,2547158
French Guiana,GUF,1990,3047
French Guiana,GUF,1995,3257
French Guiana,GUF,2000,3554
French Guiana,GUF,2005,3694
French Guiana,GUF,2010,3815
French Guiana,GUF,2015,4106
French Guiana,GUF,2020,4128
French Guiana,GUF,2024,4490
French Polynesia,PYF,1990,3056
French Polynesia,PYF,1995,3544
French Polynesia,PYF,2000,4080
French Polynesia,PYF,2005,2549
French Polynesia,PYF,2010,1312
French Polynesia,PYF,2015,1674
French Polynesia,PYF,2020,1915
French Polynesia,PYF,2024,2008
Gabon,GAB,1990,14265
Gabon,GAB,1995,16602
Gabon,GAB,2000,19695
Gabon,GAB,2005,39376
Gabon,GAB,2010,36042
Gabon,GAB,2015,43401
Gabon,GAB,2020,54053
Gabon,GAB,2024,61160
Gambia,GMB,1990,14218
Gambia,GMB,1995,16789
Gambia,GMB,2000,19940
Gambia,GMB,2005,27073
Gambia,GMB,2010,34151
Gambia,GMB,2015,38925
Gambia,GMB,2020,61390
Gambia,GMB,2024,72452
Georgia,GEO,1990,1057640
Georgia,GEO,1995,1031233
Georgia,GEO,2000,979681
Georgia,GEO,2005,879847
Georgia,GEO,2010,780487
Georgia,GEO,2015,637894
